label
car
truck
truck
truck
truck
truck
truck
truck
truck
car
truck
car
truck
truck
truck
truck
truck
truck
truck
truck
truck
truck
truck
truck
truck
truck
truck
car
car
car
car
car
car
truck
car
car
truck
truck
car
car
car
car
car
car
truck
truck
truck
bus
bus
bus
